,alpha,power
0,0.4,0.066
1,0.42750000000000005,0.074
2,0.455,0.078
3,0.48250000000000004,0.082
4,0.51,0.088
5,0.5375000000000001,0.10200000000000001
6,0.5650000000000001,0.114
7,0.5925,0.126
8,0.6200000000000001,0.14200000000000002
9,0.6475000000000001,0.162
10,0.675,0.186
11,0.7025000000000001,0.226
12,0.7300000000000001,0.25
13,0.7575000000000001,0.304
14,0.7850000000000001,0.34400000000000003
15,0.8125,0.41000000000000003
16,0.8400000000000001,0.468
17,0.8675000000000002,0.538
18,0.895,0.62
19,0.9225000000000001,0.6940000000000001
20,0.9500000000000001,0.746
21,0.9775000000000001,0.8200000000000001
22,1.0050000000000001,0.88
23,1.0325000000000002,0.918
24,1.06,0.93
25,1.0875000000000001,0.96
26,1.1150000000000002,0.976
27,1.1425,0.982
28,1.1700000000000002,0.992
29,1.1975000000000002,0.996
30,1.225,0.998
31,1.2525000000000002,1.0
32,1.2800000000000002,1.0
33,1.3075,1.0
34,1.3350000000000002,1.0
35,1.3625000000000003,1.0
36,1.3900000000000001,1.0
37,1.4175,1.0
38,1.4450000000000003,1.0
39,1.4725000000000001,1.0
40,1.5,1.0
