,alpha,power
0,0.7,0.304
1,0.7274999999999999,0.332
2,0.755,0.34600000000000003
3,0.7825,0.38
4,0.8099999999999999,0.40800000000000003
5,0.8374999999999999,0.438
6,0.865,0.47000000000000003
7,0.8925,0.488
8,0.9199999999999999,0.522
9,0.9475,0.56
10,0.975,0.588
11,1.0025,0.632
12,1.03,0.65
13,1.0575,0.676
14,1.085,0.706
15,1.1125,0.736
16,1.1400000000000001,0.762
17,1.1675,0.784
18,1.195,0.798
19,1.2225000000000001,0.8260000000000001
20,1.25,0.848
21,1.2775,0.862
22,1.3050000000000002,0.872
23,1.3325,0.892
24,1.36,0.912
25,1.3875000000000002,0.924
26,1.415,0.934
27,1.4425,0.9500000000000001
28,1.4700000000000002,0.962
29,1.4975,0.972
30,1.525,0.978
31,1.5525000000000002,0.98
32,1.58,0.98
33,1.6075,0.984
34,1.6350000000000002,0.986
35,1.6625,0.99
36,1.69,0.992
37,1.7175,0.994
38,1.745,0.998
39,1.7725000000000002,0.998
40,1.8,0.998
