,alpha,power
0,0.7,0.276
1,0.7274999999999999,0.292
2,0.755,0.326
3,0.7825,0.34800000000000003
4,0.8099999999999999,0.364
5,0.8374999999999999,0.394
6,0.865,0.422
7,0.8925,0.45
8,0.9199999999999999,0.486
9,0.9475,0.528
10,0.975,0.56
11,1.0025,0.58
12,1.03,0.62
13,1.0575,0.654
14,1.085,0.68
15,1.1125,0.704
16,1.1400000000000001,0.736
17,1.1675,0.758
18,1.195,0.778
19,1.2225000000000001,0.796
20,1.25,0.8200000000000001
21,1.2775,0.846
22,1.3050000000000002,0.876
23,1.3325,0.894
24,1.36,0.912
25,1.3875000000000002,0.928
26,1.415,0.9440000000000001
27,1.4425,0.9500000000000001
28,1.4700000000000002,0.966
29,1.4975,0.976
30,1.525,0.99
31,1.5525000000000002,0.99
32,1.58,0.99
33,1.6075,0.99
34,1.6350000000000002,0.992
35,1.6625,0.996
36,1.69,0.996
37,1.7175,0.998
38,1.745,0.998
39,1.7725000000000002,0.998
40,1.8,0.998
