,param,power_conti,power_disc
0,10,0.08,0.074
1,20,0.129,0.14200000000000002
2,30,0.195,0.21
3,40,0.274,0.28300000000000003
4,50,0.318,0.34700000000000003
5,60,0.40700000000000003,0.426
6,70,0.451,0.489
7,80,0.51,0.582
8,90,0.577,0.633
9,100,0.634,0.713
10,110,0.6940000000000001,0.756
11,120,0.743,0.794
12,130,0.783,0.8230000000000001
13,140,0.8220000000000001,0.852
14,150,0.851,0.888
15,160,0.871,0.909
16,170,0.899,0.928
17,180,0.923,0.9410000000000001
18,190,0.933,0.9520000000000001
19,200,0.9450000000000001,0.968
