,n,power
0,5000.0,0.122
1,7368.421052631578,0.20800000000000002
2,9736.842105263157,0.256
3,12105.263157894737,0.334
4,14473.684210526315,0.446
5,16842.105263157893,0.438
6,19210.526315789473,0.5720000000000001
7,21578.94736842105,0.614
8,23947.36842105263,0.664
9,26315.78947368421,0.742
10,28684.210526315786,0.77
11,31052.631578947367,0.8280000000000001
12,33421.05263157895,0.86
13,35789.47368421052,0.896
14,38157.8947368421,0.924
15,40526.31578947368,0.928
16,42894.73684210526,0.9460000000000001
17,45263.15789473684,0.9560000000000001
18,47631.57894736842,0.966
19,50000.0,0.982
