,alpha,power
0,0.1,0.07200000000000001
1,0.1275,0.074
2,0.155,0.08
3,0.1825,0.084
4,0.21,0.088
5,0.2375,0.098
6,0.265,0.11
7,0.2925,0.124
8,0.31999999999999995,0.138
9,0.3475,0.156
10,0.375,0.18
11,0.40249999999999997,0.196
12,0.42999999999999994,0.21
13,0.4574999999999999,0.226
14,0.485,0.242
15,0.5125,0.268
16,0.5399999999999999,0.304
17,0.5674999999999999,0.356
18,0.595,0.40800000000000003
19,0.6224999999999999,0.452
20,0.6499999999999999,0.498
21,0.6774999999999999,0.54
22,0.705,0.592
23,0.7324999999999999,0.622
24,0.7599999999999999,0.666
25,0.7874999999999999,0.718
26,0.8149999999999998,0.764
27,0.8424999999999999,0.786
28,0.8699999999999999,0.8200000000000001
29,0.8974999999999999,0.854
30,0.9249999999999999,0.884
31,0.9524999999999999,0.93
32,0.9799999999999999,0.9420000000000001
33,1.0074999999999998,0.9460000000000001
34,1.035,0.97
35,1.0625,0.974
36,1.0899999999999999,0.978
37,1.1175,0.984
38,1.145,0.988
39,1.1724999999999999,0.99
40,1.2,0.994
