,alpha,power
0,0.1,0.062
1,0.1275,0.068
2,0.155,0.074
3,0.1825,0.078
4,0.21,0.082
5,0.2375,0.088
6,0.265,0.098
7,0.2925,0.106
8,0.31999999999999995,0.114
9,0.3475,0.124
10,0.375,0.134
11,0.40249999999999997,0.14200000000000002
12,0.42999999999999994,0.15
13,0.4574999999999999,0.17
14,0.485,0.194
15,0.5125,0.202
16,0.5399999999999999,0.226
17,0.5674999999999999,0.256
18,0.595,0.29
19,0.6224999999999999,0.31
20,0.6499999999999999,0.336
21,0.6774999999999999,0.38
22,0.705,0.422
23,0.7324999999999999,0.464
24,0.7599999999999999,0.5
25,0.7874999999999999,0.538
26,0.8149999999999998,0.5740000000000001
27,0.8424999999999999,0.624
28,0.8699999999999999,0.654
29,0.8974999999999999,0.6920000000000001
30,0.9249999999999999,0.742
31,0.9524999999999999,0.778
32,0.9799999999999999,0.802
33,1.0074999999999998,0.838
34,1.035,0.88
35,1.0625,0.902
36,1.0899999999999999,0.916
37,1.1175,0.926
38,1.145,0.9420000000000001
39,1.1724999999999999,0.9520000000000001
40,1.2,0.96
