,alpha,power
0,0.1,0.058
1,0.1275,0.06
2,0.155,0.066
3,0.1825,0.068
4,0.21,0.07
5,0.2375,0.07200000000000001
6,0.265,0.078
7,0.2925,0.09
8,0.31999999999999995,0.1
9,0.3475,0.108
10,0.375,0.122
11,0.40249999999999997,0.132
12,0.42999999999999994,0.15
13,0.4574999999999999,0.168
14,0.485,0.188
15,0.5125,0.214
16,0.5399999999999999,0.23600000000000002
17,0.5674999999999999,0.27
18,0.595,0.298
19,0.6224999999999999,0.318
20,0.6499999999999999,0.342
21,0.6774999999999999,0.37
22,0.705,0.428
23,0.7324999999999999,0.47400000000000003
24,0.7599999999999999,0.52
25,0.7874999999999999,0.5720000000000001
26,0.8149999999999998,0.604
27,0.8424999999999999,0.658
28,0.8699999999999999,0.6940000000000001
29,0.8974999999999999,0.72
30,0.9249999999999999,0.742
31,0.9524999999999999,0.782
32,0.9799999999999999,0.8140000000000001
33,1.0074999999999998,0.834
34,1.035,0.86
35,1.0625,0.894
36,1.0899999999999999,0.914
37,1.1175,0.928
38,1.145,0.9460000000000001
39,1.1724999999999999,0.9500000000000001
40,1.2,0.966
