,n,power
0,5000.0,0.122
1,7368.421052631578,0.20800000000000002
2,9736.842105263157,0.272
3,12105.263157894737,0.36
4,14473.684210526315,0.41400000000000003
5,16842.105263157893,0.498
6,19210.526315789473,0.554
7,21578.94736842105,0.636
8,23947.36842105263,0.678
9,26315.78947368421,0.736
10,28684.210526315786,0.766
11,31052.631578947367,0.81
12,33421.05263157895,0.872
13,35789.47368421052,0.892
14,38157.8947368421,0.9
15,40526.31578947368,0.926
16,42894.73684210526,0.9520000000000001
17,45263.15789473684,0.9540000000000001
18,47631.57894736842,0.97
19,50000.0,0.974
